"id";"stats";"built";"address";"redfin_estimate";"last_sold_price";"beds";"bath";"sqft";"per_sqft";"hoa_dues";"property_type";"style";"floor_number";"stories";"views";"offer_review_date";"community";"county";"mls";"zipcode";"state";"link";"creation_date";"modification_date";"on_redfin";"listed_at_price";"price";"lot_size"
110;"Active";"2014";"9262 Points Dr NE Yarrow Point";4821280.0;0.0;6;5.5;5774;843.0;0.0;"Residential";"2 Story";0;0;"City, Lake, Mountain(s), Partial, Territorial";"";"Yarrow Point";"King";1300339;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/9262-Points-Dr-NE-98004/home/249572";"2018-06-12 17:19:02";"2018-06-12 17:19:02";15;0.0;4868000.0;0.43
111;"Active";"2015";"9150 NE 32nd St Yarrow Point";2684370.0;0.0;5;4.0;5503;506.0;0.0;"Residential";"2 Story, Modern";0;0;"City, Mountain(s), Territorial";"";"Yarrow Point";"King";1262234;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/9150-NE-32nd-St-98004/home/252234";"2018-06-12 17:19:08";"2018-06-12 17:19:08";83;0.0;2787000.0;0.4
112;"Pending";"1977";"9075 NE 39th Place Yarrow Point";2599630.0;0.0;4;2.5;2922;888.0;0.0;"Residential";"1 Story, Traditional";0;0;"Territorial";"";"Yarrow Point";"King";1302528;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/9075-NE-39th-Pl-98004/home/249658";"2018-06-12 17:19:14";"2018-06-12 17:19:14";8;2595000.0;0.0;0.42
113;"Active";"1938";"4427 91st Ave NE Yarrow Point";6193750.0;0.0;3;1.75;3230;2105.0;0.0;"Residential";"2 Stories with Basement";0;0;"City, Lake, Mountain(s)";"";"Yarrow Point";"King";1282458;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/4427-91st-Ave-NE-98004/home/250202";"2018-06-12 17:19:20";"2018-06-12 17:19:20";42;0.0;6800000.0;0.73
114;"Active";"2011";"4233 94th Ave NE Yarrow Point";0.0;0.0;5;8.0;8880;663.0;0.0;"Residential";"2 Stories with Basement, Northwestern Contemporary";0;0;"Lake, Partial";"";"Yarrow Point";"King";1278223;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/4233-94th-Ave-NE-98004/home/249820";"2018-06-12 17:19:26";"2018-06-12 17:19:26";46;0.0;5890000.0;0.42
115;"Active";"2012";"3833 94th Ave NE Yarrow Point";0.0;0.0;4;5.25;10190;586.0;0.0;"Residential";"2 Stories with Basement, Modern";0;0;"Bay, City, Lake, Mountain(s)";"";"Yarrow Point";"King";1252170;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/3833-94th-Ave-NE-98004/home/250042";"2018-06-12 17:19:32";"2018-06-12 17:19:32";103;0.0;5968000.0;0.32
116;"Active";"2005";"3812 94th Ave NE Yarrow Point";3869910.0;0.0;6;5.0;5126;780.0;0.0;"Residential";"2 Story, Traditional";0;0;"";"";"Yarrow Point";"King";1283050;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/3812-94th-Ave-NE-98004/home/250287";"2018-06-12 17:19:37";"2018-06-12 17:19:37";41;0.0;3999000.0;0.37
117;"Pending";"1972";"5921 218th St SE Woodinville";526579.0;0.0;4;2.25;2513;213.0;0.0;"Residential";"Tri-Level, Contemporary";0;0;"Territorial";"";"Maltby";"Snohomish";1298682;"98072";"WA";"https://www.redfin.com/WA/Woodinville/5921-218th-St-SE-98072/home/2756935";"2018-06-12 17:21:45";"2018-06-12 17:21:45";18;535000.0;0.0;1.1
118;"Pending";"1990";"24333 83rd Ave SE Woodinville";913107.0;0.0;4;3.5;2996;294.0;0.0;"Residential";"2 Story, Traditional";0;0;"Territorial";"2018-06-10";"Wellington";"Snohomish";1305324;"98072";"WA";"https://www.redfin.com/WA/Woodinville/24333-83rd-Ave-SE-98072/home/2639595";"2018-06-12 17:21:58";"2018-06-12 17:21:58";7;879900.0;0.0;0.66
119;"Active";"2004";"24202 85th Ave SE Woodinville";666711.0;0.0;2;2.25;1838;367.0;0.0;"Residential";"2 Story, Craftsman";0;0;"Other (See Remarks)";"";"Woodinville";"Snohomish";1293213;"98072";"WA";"https://www.redfin.com/WA/Woodinville/24202-85th-Ave-SE-98072/home/2639594";"2018-06-12 17:22:10";"2018-06-12 17:22:10";29;0.0;675000.0;1.53
120;"Active";"2006";"23107 NE 162nd St Woodinville";0.0;0.0;4;4.5;5226;362.0;0.0;"Residential";"2 Story";0;0;"Territorial";"";"Woodinville";"King";1298380;"98077";"WA";"https://www.redfin.com/WA/Woodinville/23107-NE-162nd-St-98077/home/12299774";"2018-06-12 17:22:33";"2018-06-12 17:22:33";19;0.0;1890000.0;2.38
121;"Active";"2014";"22825 106th Dr SE Woodinville";754800.0;0.0;2;2.75;2697;284.0;0.0;"Residential";"2 Story, Craftsman";0;0;"Territorial";"";"Paradise Lake";"Snohomish";1296858;"98077";"WA";"https://www.redfin.com/WA/Woodinville/22825-106th-Dr-SE-98077/home/2680836";"2018-06-12 17:22:38";"2018-06-12 17:22:38";21;0.0;765000.0;9583.0
122;"Active";"1993";"22303 NE 157th St Woodinville";1249590.0;0.0;4;3.25;3299;379.0;40.0;"Residential";"1 Story";0;0;"Territorial";"";"Saybrook";"King";1300563;"98077";"WA";"https://www.redfin.com/WA/Woodinville/22303-NE-157th-St-98077/home/273582";"2018-06-12 17:22:44";"2018-06-12 17:22:44";15;0.0;1250000.0;0.69
123;"Pending Inspection";"1997";"21720 NE 181st Place Woodinville";0.0;0.0;4;2.5;2960;297.0;0.0;"Residential";"2 Story";0;0;"Territorial";"";"Lake Of The Woods";"King";1289561;"98077";"WA";"https://www.redfin.com/WA/Woodinville/21720-NE-181st-Pl-98077/home/271773";"2018-06-12 17:22:50";"2018-06-12 17:22:50";34;879950.0;0.0;0.7
124;"Active";"2006";"21104 NE 130th Ct Woodinville";0.0;0.0;5;4.0;5680;464.0;105.0;"Residential";"2 Story";0;0;"";"";"Bear Creek";"King";1304757;"98077";"WA";"https://www.redfin.com/WA/Woodinville/21104-NE-130th-Ct-98077/home/2070519";"2018-06-12 17:23:02";"2018-06-12 17:23:02";6;0.0;2638000.0;1.12
125;"Active";"1972";"20324 Little Bear Creek Rd Woodinville";0.0;0.0;3;2.0;1344;171.0;0.0;"Residential";"Manufactured Double-Wide";0;0;"";"";"Maltby";"Snohomish";1298139;"98072";"WA";"https://www.redfin.com/WA/Woodinville/20324-Little-Bear-Creek-Rd-98072/home/2572134";"2018-06-12 17:23:11";"2018-06-12 17:23:11";21;0.0;229900.0;0.71
126;"Active";"1995";"20020 NE 196th St Woodinville";898896.0;0.0;3;2.5;2580;348.0;0.0;"Residential";"1 Story";0;0;"";"";"Reintree";"King";1307175;"98077";"WA";"https://www.redfin.com/WA/Woodinville/20020-NE-196th-St-98077/home/274262";"2018-06-12 17:23:17";"2018-06-12 17:23:17";6;0.0;897950.0;0.76
