06-13 23:30 link_operation ERROR    Unknow err in __make_call().HTTPSConnectionPool(host='www.redfin.com', port=443): Max retries exceeded with url: /zipcode/98001 (Caused by SSLError(SSLError(1, '[SSL: UNKNOWN_PROTOCOL] unknown protocol (_ssl.c:833)'),))
Trying 3 more time(s)...
06-13 23:30 link_operation INFO     6 pages in total to fetch.
06-13 23:30 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98001
06-13 23:31 link_operation ERROR    Unknow err in __make_call().HTTPSConnectionPool(host='www.redfin.com', port=443): Max retries exceeded with url: /zipcode/98001/page-2 (Caused by SSLError(SSLError(1, '[SSL: UNKNOWN_PROTOCOL] unknown protocol (_ssl.c:833)'),))
Trying 3 more time(s)...
06-13 23:32 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98001/page-2
06-13 23:32 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98001/page-3
06-13 23:33 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98001/page-4
06-13 23:34 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98001/page-5
06-13 23:34 link_operation INFO     Got 9 links on page https://www.redfin.com/zipcode/98001/page-6
06-13 23:34 Link_db_control INFO     Total link amount is 109. 0 links are already in the database:
06-13 23:35 link_operation INFO     3 pages in total to fetch.
06-13 23:35 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98002
06-13 23:35 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98002/page-2
06-13 23:35 link_operation INFO     Got 7 links on page https://www.redfin.com/zipcode/98002/page-3
06-13 23:35 Link_db_control INFO     Total link amount is 47. 0 links are already in the database:
06-13 23:36 link_operation INFO     5 pages in total to fetch.
06-13 23:36 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98003
06-13 23:36 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98003/page-2
06-13 23:36 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98003/page-3
06-13 23:37 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98003/page-4
06-13 23:37 link_operation ERROR    Unknow err in __make_call().HTTPSConnectionPool(host='www.redfin.com', port=443): Max retries exceeded with url: /zipcode/98003/page-5 (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x051EF490>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond',)))
Trying 3 more time(s)...
06-13 23:38 link_operation INFO     Got 11 links on page https://www.redfin.com/zipcode/98003/page-5
06-13 23:38 Link_db_control INFO     Total link amount is 91. 0 links are already in the database:
06-13 23:38 link_operation INFO     6 pages in total to fetch.
06-13 23:38 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98004
